reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
U14,1,STM32H747XIHx,MCU_ST_STM32H7:STM32H747XIHx,488.95,197.485,0,,K1:/RST; E8:Net-(U14-BOOT0); E1:unconnected-(U14-VLXSMPS-PadE1); M1:VERF+; N1:GND; E7:Net-(U14-PDR_ON); G2:GND; L17:/DSIHOST_CKN; L16:/DSIHOST_CKP; M17:/DSIHOST_D0N; M16:/DSIHOST_D0P; K17:/DSIHOST_D1N; K16:/DSIHOST_D1P; J14:unconnected-(U14-PK0-PadJ14); J15:unconnected-(U14-PK1-PadJ15); H17:/EN_5V; C8:unconnected-(U14-PK3-PadC8); B8:unconnected-(U14-PK4-PadB8); A8:/ETH_RST; C7:unconnected-(U14-PK6-PadC7); D7:unconnected-(U14-PK7-PadD7); N6:unconnected-(U14-PJ0-PadN6); P6:unconnected-(U14-PJ1-PadP6); T6:unconnected-(U14-PJ2-PadT6); U6:unconnected-(U14-PJ3-PadU6); U7:unconnected-(U14-PJ4-PadU7); R12:unconnected-(U14-PJ5-PadR12); N15:unconnected-(U14-PJ6-PadN15); N14:unconnected-(U14-PJ7-PadN14); N13:/MEMS_INT; M14:unconnected-(U14-PJ9-PadM14); L14:unconnected-(U14-PJ10-PadL14); K14:unconnected-(U14-PJ11-PadK14); D11:unconnected-(U14-PJ12-PadD11); E10:unconnected-(U14-PJ13-PadE10); D10:unconnected-(U14-PJ14-PadD10); B10:unconnected-(U14-PJ15-PadB10); A16:unconnected-(U14-PI0-PadA16); A15:unconnected-(U14-PI1-PadA15); B15:Net-(U14-PI2); C14:unconnected-(U14-PI3-PadC14); A4:Net-(U14-PI4); A3:Net-(U14-PI5); A2:Net-(U14-PI6); B3:Net-(U14-PI7); E4:unconnected-(U14-PI8-PadE4); E2:unconnected-(U14-PI9-PadE2); F3:unconnected-(U14-PI10-PadF3); F4:unconnected-(U14-PI11-PadF4); H1:unconnected-(U14-PI12-PadH1); H2:unconnected-(U14-PI13-PadH2); H3:unconnected-(U14-PI14-PadH3); P5:unconnected-(U14-PI15-PadP5); J2:Net-(U14-PH0); J1:Net-(U14-PH1); N2:unconnected-(U14-PH2-PadN2); P2:unconnected-(U14-PH3-PadP2); P3:/I2C2_SCL; P4:/I2C2_SDA; T11:unconnected-(U14-PH6-PadT11); U13:unconnected-(U14-PH7-PadU13); T13:/I2C3_SDA; R13:Net-(U14-PH9); P13:unconnected-(U14-PH10-PadP13); P14:unconnected-(U14-PH11-PadP14); R14:/CIS_LED_G; D16:unconnected-(U14-PH13-PadD16); B17:unconnected-(U14-PH14-PadB17); B16:unconnected-(U14-PH15-PadB16); T8:/FMC_A10; U8:/FMC_A11; H16:/FMC_A12; H15:unconnected-(U14-PG3-PadH15); H14:/FMC_BA0; G14:/FMC_BA1; G15:/EN_12V; F16:unconnected-(U14-PG7-PadF16); F15:/FMC_SDCLK; A10:/SPI1_MISO; A9:Net-(U14-PG10); B9:/ETH_TX_EN; C9:unconnected-(U14-PG12-PadC9); D9:/ETH_TXD0; D8:/ETH_TXD1; D6:/FMC_SDNCAS; A7:+3.3V; D17:+3.3V; U11:+3.3V; N17:Net-(U14-VCAPDSI); B1:+3.3V; E6:+3.3V; E9:+3.3V; E11:+3.3V; F5:+3.3V; G5:+3.3V; G13:+3.3V; H5:+3.3V; H13:+3.3V; J13:+3.3V; K5:+3.3V; K13:+3.3V; L5:+3.3V; L13:+3.3V; A1:GND; A17:GND; B2:GND; B6:GND; C10:GND; C13:GND; C16:GND; G10:GND; G11:GND; G16:GND; G7:GND; G8:GND; G9:GND; H10:GND; H11:GND; H7:GND; H8:GND; H9:GND; J10:GND; J11:GND; J16:GND; J17:GND; J3:GND; J7:GND; J8:GND; J9:GND; K10:GND; K11:GND; K7:GND; K8:GND; K9:GND; L10:GND; L11:GND; L7:GND; L8:GND; L9:GND; N16:GND; R4:GND; R8:GND; T12:GND; U1:GND; U17:GND; M5:+3.3V; P1:GND; M13:+3.3V; K15:GND; L15:GND; M15:GND; N7:+3.3V; F2:GND; N8:+3.3V; N10:+3.3V; N11:+3.3V; N12:+3.3V; F17:+3.3V; G17:+3.3V; L1:+3.3V; P17:+3.3V; A6:+3.3V; C17:+3.3V; U12:+3.3V; F1:+3.3V; N5:unconnected-(U14-PA0-PadN5); T1:unconnected-(U14-PA0_C-PadT1); N4:/ETH_REF_CLK; T2:unconnected-(U14-PA1_C-PadT2); N3:/ETH_MDIO; U2:unconnected-(U14-PA3-PadU2); U3:/DCMI_HSYNC; T3:unconnected-(U14-PA5-PadT3); R3:Net-(U14-PA6); R5:/ETH_CRS_DV; E15:/I2C3_SCL; D15:Net-(U14-PA9); D14:Net-(U14-PA10); E17:unconnected-(U14-PA11-PadE17); E16:/CIS_RS; C15:/DEBUG_SWDIO; B14:/DEBUG_SWCLK; A14:/MEMS_FSYNC; U5:unconnected-(U14-PB0-PadU5); T5:unconnected-(U14-PB1-PadT5); R6:unconnected-(U14-PB2-PadR6); C6:/SPI1_SCK; B7:unconnected-(U14-PB4-PadB7); A5:/SPI1_MOSI; B5:/USART1_TX; C5:/USART1_RX; D5:unconnected-(U14-PB8-PadD5); D4:/SPI2_NSS; P11:/QUADSPI_NCS; P12:unconnected-(U14-PB11-PadP12); T14:unconnected-(U14-PB12-PadT14); U14:unconnected-(U14-PB13-PadU14); U15:/SPI2_MISO; T15:/SPI2_MOSI; L2:/FMC_SDNWE; M2:/ETH_MDC; M3:/FMC_SDNE0; R1:unconnected-(U14-PC2_C-PadR1); M4:/FMC_SDCKE0; R2:unconnected-(U14-PC3_C-PadR2); T4:/ETH_RXD0; U4:/ETH_RXD1; F14:/CIS_LED_B; F13:unconnected-(U14-PC7-PadF13); E13:Net-(U14-PC8); E14:Net-(U14-PC9); A13:unconnected-(U14-PC10-PadA13); B13:Net-(U14-PC11); C12:unconnected-(U14-PC12-PadC12); E3:unconnected-(U14-PC13-PadE3); C2:unconnected-(U14-PC14-PadC2); C1:unconnected-(U14-PC15-PadC1); D13:/FMC_D2; E12:/FMC_D3; D12:unconnected-(U14-PD2-PadD12); B12:/SPI2_SCK; A12:unconnected-(U14-PD4-PadA12); A11:unconnected-(U14-PD5-PadA11); B11:unconnected-(U14-PD6-PadB11); C11:unconnected-(U14-PD7-PadC11); U16:/FMC_D13; T17:/FMC_D14; T16:/FMC_D15; R15:unconnected-(U14-PD11-PadR15); R16:unconnected-(U14-PD12-PadR16); R17:/CIS_LED_R; P16:/FMC_D0; P15:/FMC_D1; C4:/FMC_NBL0; B4:/FMC_NBL1; C3:/SPI4_SCK; D3:unconnected-(U14-PE3-PadD3); D2:/SPI4_NSS; D1:/SPI4_MISO; E5:/SPI4_MOSI; U9:/FMC_D4; T9:/FMC_D5; P9:/FMC_D6; N9:/FMC_D7; P10:/FMC_D8; R10:/FMC_D9; T10:/FMC_D10; U10:/FMC_D11; R11:/FMC_D12; G4:/FMC_A0; G3:/FMC_A1; G1:/FMC_A2; H4:/FMC_A3; J5:/FMC_A4; J4:/FMC_A5; K2:/QUADSPI_IO3; K3:/QUADSPI_IO2; K4:/QUADSPI_IO0; L4:/QUADSPI_IO1; L3:/QUADSPI_CLK; T7:/FMC_SDNRAS; R7:/FMC_A6; P7:/FMC_A7; P8:/FMC_A8; R9:/FMC_A9
J3,1,FH12-18S-0.5SH,Connector_Generic:Conn_01x18,278.13,45.085,0,,1:Net-(J3-SIG3); 2:GNDA; 3:Net-(J3-SIG2); 4:GNDA; 5:Net-(J3-SIG1); 6:+3.3VCIS; 7:Net-(J3-VREF); 8:/CIS_RS; 9:+3.3VCIS; 10:/CIS_SP; 11:GNDA; 12:/CIS_CP; 13:+4.5V; 14:/CIS_VLED_G; 15:/CIS_VLED_R; 16:/CIS_VLED_B; 17:unconnected-(J3-NC-Pad17); 18:unconnected-(J3-NC-Pad18)
#PWR036,1,+3.3V,power:+3.3V,299.72,97.79,0,,1:None
U12,1,MLX90395xLW,Sensor_Magnetic:MLX90395xLW,325.12,101.6,0,,2:/MAG_CS; 3:/SPI1_SCK; 5:/SPI1_MOSI; 6:/SPI1_MISO; 7:/MAG_INT; 1:unconnected-(U12-INT-Pad1); 15:+3.3V; 10:GND; 13:GND; 14:GND; 16:GND; 17:GND; 4:GND; 8:GND; 9:GND; 11:unconnected-(U12-A1-Pad11); 12:unconnected-(U12-A0-Pad12)
R71,1,R_0064,DVB_R:R_0064,299.72,101.6,180,,1:/MAG_INT; 2:+3.3V
C115,1,100nF,Device:C,441.325,45.085,0,x,1:GND; 2:+3.3V
#PWR027,1,GNDA,power:GNDA,60.325,57.785,0,,1:None
#PWR0236,1,GND,power:GND,427.355,32.385,0,y,1:None
R31,1,220,Device:R,235.585,344.805,90,,1:Net-(J4-Pad12); 2:GND
#PWR0153,1,GND,power:GND,274.955,335.915,0,,1:None
